,country_home,country_checkin,user,language_home,language_checkin,same_language,distance,gdp_difference
0,algeria,france,1,arabic,french,0,1511.8960575853332,-21600.0
1,angola,portugal,1,portuguese,portuguese,1,5889.419408080644,-16100.0
2,argentina,benin,2,spanish,french,0,8214.13201177269,10100.0
3,argentina,brazil,1,spanish,portuguese,0,3264.2444767384964,3600.0
4,argentina,czech republic,3,spanish,greek,0,11811.431790188917,-4500.0
5,argentina,ecuador,1,spanish,spanish,1,4235.504873462567,7900.0
6,argentina,germany,1,spanish,german,0,11915.30179039542,-16400.0
7,argentina,hungary,2,spanish,hungarian,0,11934.772866548914,-2700.0
8,argentina,italy,1,spanish,italian,0,11192.81883438072,-15500.0
9,argentina,mexico,1,spanish,spanish,1,7434.541142345927,2200.0
10,argentina,netherlands,1,spanish,dutch,0,11450.007520245708,-17400.0
11,argentina,peru,1,spanish,spanish,1,3242.3059338248177,6100.0
12,argentina,slovakia,1,spanish,slovak,0,11857.59563935227,-2100.0
13,argentina,spain,1,spanish,castilian,0,10178.905048329749,-10800.0
14,argentina,sweden,2,spanish,swedish,0,12554.319840906142,-15600.0
15,argentina,switzerland,1,spanish,german,0,11068.543651739354,-21500.0
16,argentina,united kingdom,1,spanish,english,0,11212.659335929153,-16500.0
17,argentina,united states,8,spanish,english,0,8828.951953268508,-26600.0
18,argentina,uruguay,1,spanish,spanish,1,311.85207648680847,-1600.0
19,argentina,"venezuela, bolivarian republic of",1,spanish,,0,5049.464011902296,
20,australia,argentina,2,english,spanish,0,12195.460012579704,17800.0
21,australia,austria,2,english,german,0,15903.395393859544,-1000.0
22,australia,belgium,4,english,dutch,0,16440.330935245995,-100.0
23,australia,belize,1,english,english,1,13814.368602946017,24100.0
24,australia,brazil,2,english,portuguese,0,13975.10432346744,21400.0
25,australia,bulgaria,2,english,bulgarian,0,15121.351045186326,21400.0
26,australia,cambodia,3,english,khmer,0,7132.389783435875,27100.0
27,australia,canada,19,english,english,1,12998.794944486504,-800.0
28,australia,china,4,english,chinese,0,7668.019559349082,24000.0
29,australia,christmas island,1,english,,0,4952.055730683074,
30,australia,colombia,2,english,spanish,0,14340.89588594019,22700.0
31,australia,"congo, the democratic republic of the",1,english,,0,12767.676424896188,
32,australia,cook islands,1,english,,0,8133.791016258709,24000.0
33,australia,cuba,1,english,spanish,0,17974.77476336769,26100.0
34,australia,czech republic,2,english,greek,0,15828.517697375744,13300.0
35,australia,denmark,4,english,danish,0,15900.359357442552,-2100.0
36,australia,egypt,2,english,arabic,0,11368.353076076774,25000.0
37,australia,estonia,1,english,estonian,0,15134.241279901666,16700.0
38,australia,fiji,2,english,english,1,3853.9052684844146,23200.0
39,australia,finland,2,english,finnish,0,14978.528080103686,1600.0
40,australia,france,29,english,french,0,16774.284578766983,1400.0
41,australia,germany,14,english,german,0,16055.153316389205,1400.0
42,australia,greece,2,english,greek,0,13739.389704739266,9000.0
43,australia,holy see (vatican city state),1,english,,0,15337.921994584201,
44,australia,hong kong,9,english,,0,7193.876121552987,200.0
45,australia,india,5,english,hindi,0,10402.056867326086,26100.0
46,australia,indonesia,17,english,bahasa,0,4435.136572649639,25800.0
47,australia,ireland,7,english,english,1,17245.89266996045,-600.0
48,australia,isle of man,1,english,,0,15352.59234270418,8000.0
49,australia,israel,1,english,hebrew,0,12342.354643726514,9200.0
50,australia,italy,9,english,italian,0,15914.542167945909,2300.0
51,australia,jamaica,1,english,english,1,14729.989628676707,25100.0
52,australia,japan,16,english,japanese,0,7762.293008997691,800.0
53,australia,"korea, republic of",6,english,,0,8154.463341814784,
54,australia,latvia,1,english,latvian,0,15318.741519055826,18800.0
55,australia,malaysia,23,english,bahasa,0,6118.0385494359825,20000.0
56,australia,mauritius,1,english,creole,0,8430.224379231331,17600.0
57,australia,mexico,3,english,spanish,0,13822.477819314103,20000.0
58,australia,monaco,1,english,french,0,15768.270423713979,2000.0
59,australia,netherlands,7,english,dutch,0,15783.624275245664,400.0
60,australia,new zealand,31,english,english,1,2274.9876239173145,7400.0
61,australia,norfolk island,1,english,,0,1471.4604818048365,
62,australia,peru,1,english,spanish,0,13344.561935721611,23900.0
63,australia,philippines,4,english,filipino,0,5112.362228381114,24400.0
64,australia,poland,2,english,polish,0,15430.154955992866,17900.0
65,australia,puerto rico,1,english,,0,16007.146107366845,12200.0
66,australia,russian federation,4,english,,0,14136.774659636914,
67,australia,"saint helena, ascension and tristan da cunha",1,english,,0,7520.729972307283,
68,australia,seychelles,1,english,seychellois,0,10233.22180161158,21200.0
69,australia,singapore,18,english,english,1,6103.120445070329,5300.0
70,australia,slovakia,1,english,slovak,0,15638.613779309459,15700.0
71,australia,south africa,2,english,isizulu,0,10360.991300594893,18300.0
72,australia,spain,4,english,castilian,0,16587.750991527857,7000.0
73,australia,sri lanka,3,english,sinhala,0,8456.938944861353,25300.0
74,australia,sweden,1,english,swedish,0,15588.358986752512,2200.0
75,australia,switzerland,2,english,german,0,16458.188530059833,-3700.0
76,australia,"taiwan, province of china",1,english,,0,7405.686134400198,
77,australia,thailand,17,english,thai,0,7448.098500527964,21600.0
78,australia,turkey,1,english,turkish,0,14750.26620308809,22300.0
79,australia,united arab emirates,6,english,arabic,0,11717.11395688483,5800.0
80,australia,united kingdom,82,english,english,1,16835.162840315188,1300.0
81,australia,united states,140,english,english,1,13804.835295473338,-8800.0
82,australia,vanuatu,2,english,bislama,0,2507.3519886223144,26100.0
83,australia,viet nam,3,english,,0,7146.825310163254,
84,australia,yemen,1,english,arabic,0,11984.880351243986,28200.0
85,australia,zimbabwe,1,english,shona,0,10636.832126607465,27100.0
86,austria,argentina,2,german,spanish,0,11659.069395908691,18800.0
87,austria,australia,1,german,english,0,15923.974866745813,1000.0
88,austria,"bolivia, plurinational state of",1,german,,0,10695.377089051124,
89,austria,brazil,1,german,portuguese,0,10025.371065267376,22400.0
90,austria,canada,1,german,english,0,6782.640453869234,200.0
91,austria,china,1,german,chinese,0,8487.287780919396,25000.0
92,austria,croatia,1,german,croatian,0,389.9065737248268,19400.0
93,austria,denmark,1,german,danish,0,870.1130521984973,-1100.0
94,austria,finland,1,german,finnish,0,1465.9816619495007,2600.0
95,austria,france,6,german,french,0,984.6685754517212,2400.0
96,austria,germany,29,german,german,1,428.6851353555946,2400.0
97,austria,greece,1,german,greek,0,1637.6145175144645,10000.0
98,austria,holy see (vatican city state),2,german,,0,654.5098732379247,
99,austria,hungary,6,german,hungarian,0,272.42248938611533,16100.0
100,austria,ireland,4,german,english,0,1692.2965932428942,400.0
101,austria,italy,5,german,italian,0,429.2095093711554,3300.0
102,austria,japan,3,german,japanese,0,9056.169888915445,1800.0
103,austria,jersey,1,german,,0,1359.106589598783,5200.0
104,austria,"korea, republic of",1,german,,0,8235.605076659958,
105,austria,latvia,1,german,latvian,0,1102.9806937505502,19800.0
106,austria,lebanon,1,german,arabic,0,2392.5015198620677,25200.0
107,austria,liberia,1,german,english,0,5236.529478867944,29000.0
108,austria,liechtenstein,1,german,german,1,522.2442469727016,5000.0
109,austria,"macedonia, the former yugoslav republic of",1,german,,0,897.4892469885903,
110,austria,mexico,2,german,spanish,0,10103.421951437364,21000.0
111,austria,myanmar,1,german,makhuwa,0,7464.5403638908365,
112,austria,netherlands,5,german,dutch,0,847.3486070740423,1400.0
113,austria,pakistan,1,german,punjabi,0,5153.644045982406,27900.0
114,austria,panama,1,german,spanish,0,9873.970201627055,23700.0
115,austria,poland,3,german,polish,0,459.97255599915326,18900.0
116,austria,portugal,1,german,portuguese,0,2069.974908955882,12000.0
117,austria,romania,2,german,romanian,0,987.3553133382082,23000.0
118,austria,slovenia,4,german,slovene,0,277.36855418358994,11000.0
119,austria,south africa,1,german,isizulu,0,8565.46892650126,19300.0
120,austria,spain,5,german,castilian,0,1943.3301075170143,8000.0
121,austria,switzerland,3,german,german,1,595.6671527444439,-2700.0
122,austria,"taiwan, province of china",3,german,,0,9065.650475559849,
